Date,above_20,above_60,above_120,above_200
2024-10-21,49.70909803145465,34.53816633182669,29.668847397310817,31.88889608743809
2024-10-22,49.505239415688386,34.7642652413969,29.733215320102826,31.867139278282053
2024-10-23,49.002823657784845,34.91943695311842,29.711544463773087,31.739193124289613
2024-10-24,48.131047117083114,34.85709966584765,29.608932905331233,31.575791429450295
2024-10-25,47.041815297905515,34.754326945856484,29.481067332113444,31.407399098634198
2024-10-28,45.71955999458927,34.60083668629937,29.312680373348993,31.20351362260972
2024-10-29,44.483268261671775,34.64969012394505,29.205002970207353,31.040106555718758
2024-10-30,42.73076534223031,34.339298352037204,28.90001011020119,30.76534223031038
2024-10-31,41.0828025477707,34.0461025174401,28.53098776665656,30.42665049034476
2024-11-01,39.677484581943176,33.92983520372055,28.278232736831463,30.173895460519663
2024-11-04,39.32362754018805,34.298857547265186,28.26812253563846,30.128399555151148
2024-11-05,39.050652107976944,34.76392680214336,28.273177636234962,30.087958750379137
2024-11-06,38.22464974264016,34.92884208819933,28.20600859013298,29.995471316029775
2024-11-07,37.499840520421266,35.114015301248074,28.149014073121304,29.92322036604075
2024-11-08,36.75481089581636,35.177919706561866,27.99599944806664,29.80044521337724
2024-11-11,35.535159323583585,34.95398893538724,27.81781117253353,29.586780102480773
2024-11-12,34.00754866432234,34.275479717253155,27.49316435681269,29.196347290449996
2024-11-13,32.17194675408399,33.253507773436716,26.926060335493574,28.60894245687324
2024-11-14,30.750680830383097,32.38813673494966,26.33369153250815,28.1225699466711
2024-11-15,29.6528073284056,31.568197273933812,25.852449172116042,27.671550976695823
2024-11-18,28.979326407577485,31.005944648203055,25.47226057773099,27.3417954537974
2024-11-19,28.386635965105548,30.37793819011102,25.122359701660077,26.936234864583877
2024-11-20,28.349851129163664,29.96224059641396,24.85835801112293,26.631738762693637
2024-11-21,28.37872363373711,29.531313373030084,24.584246119392795,26.413168649627707
2024-11-22,28.68033570156487,29.246919739047453,24.370757910213907,26.174367412859553
2024-11-25,29.365872742479453,29.144364988769958,24.303760405171403,26.04168040335307
2024-11-26,29.99057167451842,28.996250005226642,24.21652641576857,25.86852578578403
2024-11-27,30.53946017958419,28.82786101271623,24.164624523960157,25.690316067618483
2024-11-28,31.285245656982426,28.78576376458863,24.127914737231794,25.507029806224004
2024-11-29,31.362496590462438,28.47448951938369,24.05464790845919,25.29223087070824
2024-12-02,31.455501873470965,28.148349851238198,23.920987621500835,25.057404312066502
2024-12-03,31.648420362972633,27.836914956649892,23.847635113057105,24.938448798665345
2024-12-04,31.255814689950245,27.237692756704387,23.728893798833766,24.642853933276673
2024-12-05,30.55262770492744,26.453913206097006,23.354159231138578,24.212588274161508
2024-12-06,29.758732626540915,25.685304272507935,22.98453324569039,23.762161100398245
2024-12-09,28.460398484393306,24.65948490940852,22.41820277187928,23.195739688473843
2024-12-10,28.267342219163847,24.203986598503736,22.215170060691026,22.93208335152096
2024-12-11,29.25003017005641,24.43994960530719,22.33511743213021,22.961162150572974
2024-12-12,30.969568255794147,25.135235673074703,22.737737904802987,23.25777018034419
2024-12-13,32.961321559736284,25.90103622375312,23.226123716916714,23.55935305984284
2024-12-16,34.9146464661491,26.5843274892794,23.62723872086967,23.799004633130732
2024-12-17,36.67097807856313,27.166591894196937,23.977867012718992,23.9931871724125
2024-12-18,38.59845579758759,27.819328225365833,24.36872222759077,24.227724882080242
2024-12-19,39.8100781080333,28.33096039482762,24.643604420364188,24.381562938256327
2024-12-20,40.477365171320976,28.575394526046587,24.807627454659404,24.45475477734222
2024-12-23,41.62502800114613,29.044657356896632,25.121245129987603,24.58704622014687
2024-12-24,42.495051218206264,29.34234112766235,25.32883428058398,24.689007195372287
2024-12-26,43.017218882596914,29.584461745131314,25.481004403653507,24.740550841085955
2024-12-27,42.38167761720041,29.24251001103674,25.21018140600617,24.545441914565647
2024-12-30,41.70511388729382,28.814728711963912,24.989775737870602,24.33516775425573
2025-01-02,41.6813636590698,28.65074868988378,24.89668380155832,24.16154686719377
2025-01-03,42.63474282490462,28.834394370179037,25.025342424501538,24.149197175104227
2025-01-06,43.385589173405684,29.032682647399128,25.073109497790877,24.00054228906266
2025-01-07,44.58026724530094,29.437705623372047,25.226691463059876,23.99815340216451
2025-01-08,46.13315037583484,30.160429227451584,25.60211996964723,24.172264864214487
2025-01-09,47.54546244295574,30.93353274986531,26.022969321320392,24.39175451265565
2025-01-10,49.608191626792525,32.14522097623623,26.7060416687601,24.76255455087784
2025-01-13,50.693151536151326,32.913344096054274,27.071424052766844,24.901365943138188
2025-01-14,51.08680597001072,33.48948176078082,27.315591756039787,24.919069301401265
2025-01-15,50.86049093043199,33.768224336035026,27.388388818391448,24.83085112094816
2025-01-16,50.50739425047288,34.061705490276914,27.466059636602274,24.72234873120809
2025-01-17,50.121853455186795,34.45763866583357,27.640812491310832,24.695816467688008
2025-01-20,49.72621857450207,34.84852213534384,27.85080675446124,24.644104920959848
2025-01-21,48.932647681263404,35.103383143250255,27.95500754526225,24.587338341491165
2025-01-22,48.67325365664236,35.56980446238475,28.210305342088283,24.606125591729135
2025-01-23,48.46974730695661,36.01127554615927,28.425450518473774,24.645122319540924
2025-01-24,47.72475586429075,36.29316420014094,28.546259941608778,24.640088593576966
2025-01-31,46.86398872445385,36.55491795026679,28.616732105104195,24.584717607973424
2025-02-03,45.49984898822108,36.31833282996074,28.48082150407732,24.43370582905467
2025-02-04,45.55521997382463,36.89217758985201,28.883519581193998,24.640088593576966
2025-02-05,45.51837862783076,37.62512955067166,29.324935356221424,24.86026493663831
2025-02-06,45.81327417456196,38.53399614800366,29.84171881915061,25.15086028874983
2025-02-07,45.2727147282782,39.156025412502416,30.197492152011932,25.345841424768757
2025-02-10,44.414988022708854,39.55656010369795,30.502891017122003,25.490485301148105
2025-02-11,43.657792319416544,40.042535250167674,30.788117770264577,25.640146957157835
2025-02-12,42.82519703555532,40.437951168286865,30.977751569092643,25.784753625425516
2025-02-13,42.66674363430337,41.0043011513997,31.267964209198464,26.004775820595665
2025-02-14,42.46790880100475,41.50514359620227,31.578247967825828,26.259986258512818
2025-02-17,42.9634145395055,42.312889176915114,32.18023269102565,26.620819894560718
2025-02-18,43.46886547471012,43.04505976738977,32.73185889280779,27.021859552986
2025-02-19,44.54779971957841,44.0187056871323,33.41932127939348,27.44804657945298
2025-02-20,45.47051836533922,44.88152990399988,34.13184067146396,27.854066809396986
2025-02-21,46.45854787796292,45.709070200119044,34.7839234592998,28.265062295415184
2025-02-24,47.46667508633079,46.6572817178156,35.4359743544685,28.671045317247522
2025-02-25,48.46992271662589,47.56529784402381,36.128279111015296,29.031756698071376
2025-02-26,49.654230333732315,48.57380244895286,36.845651503935926,29.45780552298074
2025-02-27,51.08035878400064,49.73340387991305,37.62352428642549,29.888935912854777
2025-02-28,51.14361788927737,50.108440383728315,37.89343192845072,30.073647610053886
2025-03-04,50.995837900629034,50.30754098925313,38.118142345690785,30.278515472886927
2025-03-05,52.10085503177519,51.41227640183952,38.87109632425317,30.77515871651575
2025-03-06,53.01453210640116,52.25021370744709,39.55347714587419,31.18620204153467
2025-03-07,53.67325388444713,52.878765022376435,40.12168753457032,31.563332830492282
2025-03-10,53.859305073666214,53.22572534821742,40.52898878664454,31.880122693216673
